agency,price,location,link,bedrooms,bathrooms,area
Titanium,3.6 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_10_marla_extra_luxury_elegant_house_is_for_sale_in_buch_executive_villas_at_prime_location-52109771-8627-1.html,5,6,10 Marla
Titanium,3.6 Crore,"Buch Executive Villas - Phase 2, Buch Executive Villas",https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_2_10_marla_ultra_modern_designer_house_for_sale_in_buch_villas_multan-50693651-19720-1.html,5,6,10 Marla
Titanium,2.85 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_7_5_marla_modern_house_for_sale_in_buch_villas_multan-50691286-8627-1.html,4,5,7 Marla
Titanium,1.8 Crore,"Royal Orchard - Block D, Royal Orchard",https://www.zameen.com/Property/royal_orchard_royal_orchard_-_block_d_6_5_marla_double_story_beautiful_luxurious_house_for_sale_in_royale_orchard-52001590-14872-1.html,5,6,6.5 Marla
Titanium,7 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_1_kanal_luxury_corner_spanish_brand_new_beautiful_house_available_for_sale_in_royal_orchard_multan-52278022-9492-1.html,6,6,1 Kanal
Titanium,3.45 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_10_marla_brand_new_beautiful_luxurious_house_available_for_sale-52064460-9492-1.html,5,6,10.1 Marla
Titanium,3.6 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_10_marla_most_beautiful_modern_house_for_sale-52119904-9492-1.html,5,6,10.1 Marla
Titanium,2.4 Crore,"Zakariya Town, Multan",https://www.zameen.com/Property/multan_zakariya_town_a_spacious_prime_location_10_marla_house_in_zakariya_town_solar_installed-51374775-1518-1.html,5,6,10 Marla
Titanium,3.6 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_a_prime_location_10_marla_house_has_landed_on_market_in_royal_orchard_of_multan-51374792-9492-1.html,5,6,10 Marla
Titanium,3.25 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_luxury_modern_designer_house_available_for_sale_in_bhuch_villas-51690133-8627-1.html,6,6,10 Marla
Titanium,3.65 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_luxury_modern_designer_house_available_for_sale_in_bhuch_villas-51926858-8627-1.html,5,6,10 Marla
